family_id	family_label	product_id	product_label	image_id	image_path
1922	EasyHOME PureAIR	2200	EasyHOME PureAIR Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\02-Purification_Air_SF\EasyHOME-PureAIR\EasyHOME-PureAIR-Classic_Kit_001.eps
1922	EasyHOME PureAIR	2200	EasyHOME PureAIR Classic	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\02-Purification_Air_SF\EasyHOME-PureAIR\EasyHOME-PureAIR-Classic_Produit_001.eps
1922	EasyHOME PureAIR	2201	EasyHOME PureAIR COMPACT Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\02-Purification_Air_SF\EasyHOME-PureAIR\EasyHOME-PureAIR-Compact_Kit_001.eps
1922	EasyHOME PureAIR	2201	EasyHOME PureAIR COMPACT Classic	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\02-Purification_Air_SF\EasyHOME-PureAIR\EasyHOME-PureAIR-Compact_Produit_001.eps
1922	EasyHOME PureAIR	2202	EasyHOME PureAIR Premium & Connect	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\02-Purification_Air_SF\EasyHOME-PureAIR\EasyHOME-PureAIR-Connect_Kit_001.eps
1922	EasyHOME PureAIR	2202	EasyHOME PureAIR Premium & Connect	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\02-Purification_Air_SF\EasyHOME-PureAIR\EasyHOME-PureAIR-Premium_Kit_001.eps
1933	EasyHOME AUTO	2194	EasyHOME AUTO	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-Auto-Classic_Kit_001.eps
1933	EasyHOME AUTO	2194	EasyHOME AUTO	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-Auto-Classic_Kit_002.eps
1933	EasyHOME AUTO	2195	EasyHOME AUTO COMPACT	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-Auto-Compact_Kit_001.eps
1933	EasyHOME AUTO	2195	EasyHOME AUTO COMPACT	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-Auto-Compact_Kit_003.eps
1933	EasyHOME AUTO	85014	EasyHOME AUTO COMPACT with Netatmo	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-Auto-Compact-with-Netatmo_Kit_001.eps
1933	EasyHOME AUTO	85014	EasyHOME AUTO COMPACT with Netatmo	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-Auto-Compact-with-Netamo-Pack-Demarrage-Connecte_Kit_001.eps
1933	EasyHOME AUTO	94307	EasyHOME AutoSENS COMPACT	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-AutoSENS-Compact_Kit_001.eps
1933	EasyHOME AUTO	94307	EasyHOME AutoSENS COMPACT	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Auto\EasyHOME-AutoSENS-Compact_Produit_001.eps
1936	EasyHOME HYGRO	2196	EasyHOME HYGRO Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Classic_Kit_001.eps
1936	EasyHOME HYGRO	2196	EasyHOME HYGRO Classic	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Classic_Produit_001.eps
1936	EasyHOME HYGRO	2197	EasyHOME HYGRO COMPACT Classic	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Kit_001.eps
1936	EasyHOME HYGRO	2197	EasyHOME HYGRO COMPACT Classic	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Produit_001.eps
1936	EasyHOME HYGRO	2198	EasyHOME HYGRO COMPACT Premium	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Kit_002.eps
1936	EasyHOME HYGRO	2198	EasyHOME HYGRO COMPACT Premium	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Kit_003.eps
1936	EasyHOME HYGRO	2199	EasyHOME HYGRO Premium	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Kit_001.eps
1936	EasyHOME HYGRO	2199	EasyHOME HYGRO Premium	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Produit_001.eps
1936	EasyHOME HYGRO	10767	EasyHOME HYGRO COMPACT Premium SP	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Produit_003.eps
1936	EasyHOME HYGRO	10767	EasyHOME HYGRO COMPACT Premium SP	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Compact_Produit_004.eps
1936	EasyHOME HYGRO	10769	EasyHOME HYGRO Premium SP	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Produit_001.eps
1936	EasyHOME HYGRO	10769	EasyHOME HYGRO Premium SP	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\EasyHOME-Hygro\EasyHOME-Hygro-Premium_Produit_002.eps
2079	Extracteurs / ventilateurs de conduit	2291	MONO	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Mono\Mono_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2183	DECO	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Deco\Deco_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2183	DECO	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Deco\Deco_Produit_002.eps
2079	Extracteurs / ventilateurs de conduit	2187	DESIGN	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Design\Design_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2187	DESIGN	1799	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\Design\Design-P_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2245	IN LINE	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine_Produit_001.eps
2079	Extracteurs / ventilateurs de conduit	2247	IN LINE XS	132	Catalogue_Aldes\01-Produits_Corporate\02-Produits\05-Ventilation_Simple_Flux_Individuelle_Purification_Air\01-Ventilation_Individuelle_SF\InLine\InLine-XS_Produit_001.eps
