family_id	family_label	product_id	carac_id	carac_label	value
1922	EasyHOME PureAIR	2200	83	Gamme	EasyHOME PureAIR
1922	EasyHOME PureAIR	2200	93	Nom du produit	EasyHOME PureAIR Classic
1922	EasyHOME PureAIR	2200	71	Description produit	EasyHOME PureAIR Classic est une solution de ventilation qui détecte et évacue hors du logement les composés organiques volatils (COV) et l'humidité grâce à 2 modes de fonctionnement.##NewLine##Le groupe PureAIR Classic est équipé de 2 capteurs électroniques multi-polluants : 1 capteur COV et 1 capteur H2O, centralisés au niveau du moto-ventilateur.##NewLine##Associée à des entrées d'air AirFILTER équipées d'un filtre à pollens, la solution PureAIR filtre l'air extérieur entrant pour une qualité d'air optimale dans le logement.##NewLine##EasyHOME PureAIR Classic est adapté à une installation dans les combles.
1922	EasyHOME PureAIR	2200	101	Plus produit	> capteurs COV et H2O,##NewLine##> grande vitesse de ventilation automatique en salle de bain et en cuisine,##NewLine##> 78% de matière plastique recyclée.
1922	EasyHOME PureAIR	2201	83	Gamme	EasyHOME PureAIR
1922	EasyHOME PureAIR	2201	93	Nom du produit	EasyHOME PureAIR COMPACT Classic
1922	EasyHOME PureAIR	2201	71	Description produit	EasyHOME PureAIR COMPACT Classic est une solution de ventilation qui détecte et évacue hors du logement les composés organiques volatils (COV) et l'humidité grâce à 2 modes de fonctionnement.##NewLine##Le groupe PureAIR COMPACT Classic est équipé de 2 capteurs électroniques multi-polluants : 1 capteur COV et 1 capteur H2O, centralisés au niveau du moto-ventilateur.##NewLine##Associée à des entrées d'air AirFILTER équipées d'un filtre à pollens, la solution PureAIR filtre l'air extérieur entrant pour une qualité d'air optimale dans le logement.##NewLine##Extra plat, EasyHOME PureAIR COMPACT Classic est adapté à une installation en combles comme en espace réduit dans le logement, par exemple en faux-plafond ou en pièce technique.
1922	EasyHOME PureAIR	2201	101	Plus produit	> capteurs COV et H2O,##NewLine##> grande vitesse de ventilation automatique en salle de bain et en cuisine,##NewLine##> 77% de matière plastique recyclée.
1922	EasyHOME PureAIR	2202	83	Gamme	EasyHOME PureAIR
1922	EasyHOME PureAIR	2202	93	Nom du produit	EasyHOME PureAIR Premium & Connect
1922	EasyHOME PureAIR	2202	71	Description produit	EasyHOME PureAIR COMPACT Premium et Connect est une solution de ventilation qui surveille 24h/24 la qualité de l'air que vous respirez : il détecte les composés organiques volatils (COV), le CO2 et l'humidité et évacue automatiquement et efficacement l'air pollué du logement grâce à ses 4 modes de ventilation.##NewLine##Le groupe PureAIR COMPACT Premium et Connect est équipé d'un moteur très basse consommation et de 4 capteurs électroniques multi-polluants : 1 capteur COV/CO2 central situé au niveau du moto-ventilateur et 3 capteurs H2O déportés dans les piquages cuisine et salle de bain.##NewLine##Associée à des entrées d'air AirFILTER équipées d'un filtre à pollens, la solution PureAIR filtre l'air extérieur entrant pour une qualité d'air optimale dans le logement.##NewLine##EasyHOME PureAIR COMPACT Premium et Connect est compatible multi-conduits et peut être installé avec des conduits semi-rigides Optiflex pour une installation étanche et performante.##NewLine##Extra plat et ultra-silencieux, EasyHOME PureAIR COMPACT est adapté à une installation en combles comme en espace réduit dans le logement, par exemple en faux-plafond ou en pièce technique.
1922	EasyHOME PureAIR	2202	101	Plus produit	> 4 capteurs multi-polluants pour détecter et évacuer composés organiques volatils (COV), CO2 et humidité,##NewLine##> solution connectée offrant 4 modes de ventilation pilotables à distance et un suivi de la qualité de l'air intérieur et extérieur,##NewLine##> 77% de matière plastique recyclée.
1933	EasyHOME AUTO	2194	83	Gamme	EasyHOME AUTO
1933	EasyHOME AUTO	2194	93	Nom du produit	EasyHOME AUTO
1933	EasyHOME AUTO	2194	71	Description produit	EasyHOME AUTO est une solution de ventilation simple flux autoréglable qui assure automatiquement les débits d'extraction et offre un renouvellement d'air quotidien et permanent dans le logement.##NewLine##Un mode BOOST CUISINE peut être activé manuellement. ##NewLine##Associé aux grilles de ventilation ColorLINE®, EasyHOME AUTO s'intègre parfaitement à la décoration intérieure.##NewLine##EasyHOME AUTO est adapté à une installation dans les combles.
1933	EasyHOME AUTO	2194	101	Plus produit	> renouvellement d'air automatique,##NewLine##> silencieux : à partir de 26 dB(A),##NewLine##> 78% de matière plastique recyclée.
1933	EasyHOME AUTO	2195	83	Gamme	EasyHOME AUTO
